Новый ID,Исходный ID (id из фида)
310597380,471214
310597675,471293
310597797,471365
310597875,471371
310598144,471492
310598338,471501
310975767,454819
310983525,471640
311175851,471645
311181994,471701
311187500,471726
311190507,471739
311194974,471759
311195977,471770
311196057,471772
311434914,471787
311435200,471807
311436359,471832
311436402,471835
311628150,471374
311628546,471607
311629261,471771
311629339,471805
311629809,471843
311631464,471877
311632537,471895
311633261,471908
312195571,471629
312195640,471729
312195815,471936
312197150,471985
314439514,471915
314439627,472010
315966631,472078
315967644,472194
315967702,472196
316181980,471649
316182016,471656
316182559,471934
316183692,472124
316183824,472130
316183985,472136
316184359,472144
316187168,472221
316188226,472232
316188317,472233
316189922,472264
316190312,472275
316350047,471904
316350288,472284
316350294,472286
316350366,472299
316350449,472302
316350560,472308
316350563,472309
316350566,472310
316351173,472347
316351332,472358
316351413,472365
317047002,472438
317047114,472441
317048081,472459
317048225,472460
317050370,472510
317050706,472522
317050763,472523
317051448,472537
317051779,472555
317902788,472449
317902812,472456
317902841,472472
317902886,472520
317902983,472613
318005913,472547
318005931,472548
318006091,472571
318006265,472585
318006493,472600
318006575,472625
318006592,472630
318006678,472658
318359931,470201
318361058,472719
318361330,472725
318361835,472766
318361850,472769
318361915,472775
318362297,472805
318362310,472806
318566501,472845
318566560,472849
318566627,472852
318566949,472860
318566981,472861
318567147,472865
318567247,472870
318567995,472892
318568421,472902
318568835,472907
318569039,472910
318569713,472947
319101147,471615
319101152,471647
319101212,471970
319101217,471974
319101220,471975
319101375,472818
319101380,472820
319101707,473064
319101741,473076
319101756,473082
319101947,473112
319102154,473143
319102293,473171
319302872,472357
319302970,472382
319303206,472415
319303543,472433
319483479,472597
319484200,472893
319485248,473213
319485435,473225
319487551,473280
319487789,473285
319488644,473303
319622256,473369
319622466,473384
319622577,473395
319622992,473415
319623022,473418
319623039,473420
319623047,473421
319623892,473448
319623978,473449
319624009,473450
319624031,473451
319624115,473452
319627643,473505
319628366,473506
319806063,473532
319812096,473586
319812339,473588
319813239,473598
320180054,473196
320180098,473208
320180237,473233
320180343,473328
320180390,473344
320180838,473615
320181062,473623
320181312,473638
320181491,473655
320181539,473670
320181560,473678
320181565,473682
320181641,473690
320182525,473753
320182548,473754
320182629,473760
320182708,473765
320182732,473766
320936774,457336
320936865,457672
320938648,473801
320939264,473835
320939325,473841
320939371,473849
320939628,473890
320939693,473895
322832828,473859
322832911,473870
322833012,473920
322833037,473921
322833083,473923
322833623,473949
322834069,473974
322834473,473988
322834509,473989
322834522,473990
322834891,474016
322835241,474048
322835605,474095
322835783,474103
322835821,474117
322835873,474119
322836073,474131
322836205,474135
322836265,474136
322836327,474137
322836910,474168
322836990,474186
322837006,474188
322837020,474189
322837114,474191
322837383,474194
322837511,474198
322838631,474249
322838885,474259
322839417,474280
322840654,474303
322840938,474308
322841412,474316
322842752,474338
322842848,474359
322843492,474388
322843670,474396
322844541,474436
322844547,474437
322844676,474447
322845920,474476
322845965,474477
323022760,474295
323022873,474340
323022894,474341
323022935,474344
323022971,474347
323023025,474351
323023048,474352
323023128,474356
323023346,474445
323023382,474448
323023584,474497
323023597,474498
323023626,474500
323023749,474510
323023757,474511
323023828,474525
323023851,474526
323024039,474541
323024058,474542
323024111,474551
323024174,474555
323024248,474558
323024356,474562
323025441,474604
323025459,474605
323025519,474608
323025685,474617
323025959,474632
323026005,474633
323026045,474635
323026247,474643
323026355,474649
323026679,474662
323026788,474667
323026985,474672
323027766,474688
323028139,474697
323029295,474716
323029362,474718
323029783,474726
323030208,474734
323030723,474746
323031307,474760
323032474,474797
323032626,474804
323032693,474809
